time,gFx,gFy,gFz,TgF
0.015269,0.9883,-0.0447,0.0562,0.99
0.032495,0.9854,-0.0481,0.0501,0.99
0.071181,0.9956,-0.0640,0.0007,1.00
0.081022,1.0039,-0.0706,-0.0000,1.01
0.097445,1.0130,-0.0623,0.0090,1.01
0.132233,1.0066,-0.0503,0.0068,1.01
0.151704,0.9741,-0.0530,0.0398,0.98
0.163795,0.9648,-0.0586,0.0589,0.97
0.180463,0.9761,-0.0645,0.0633,0.98
0.197406,0.9912,-0.0674,0.0596,1.00
0.232052,0.9805,-0.0850,0.0564,0.99
0.254087,0.9675,-0.0906,0.0533,0.97
0.263687,0.9646,-0.0865,0.0547,0.97
0.280633,0.9607,-0.0735,0.0550,0.97
0.296995,0.9636,-0.0632,0.0540,0.97
0.332146,0.9846,-0.0613,0.0369,0.99
0.352652,0.9871,-0.0640,0.0288,0.99
0.363947,0.9966,-0.0542,0.0251,1.00
0.380299,0.9988,-0.0456,0.0181,1.00
0.397974,0.9949,-0.0373,0.0141,1.00
0.431556,0.9956,-0.0469,0.0149,1.00
0.451065,0.9883,-0.0686,0.0295,0.99
0.464685,0.9832,-0.0777,0.0352,0.99
0.480054,0.9915,-0.0769,0.0361,1.00
0.498320,0.9946,-0.0718,0.0347,1.00
0.531330,0.9790,-0.0694,0.0405,0.98
0.547301,0.9800,-0.0664,0.0420,0.98
0.564621,0.9959,-0.0505,0.0335,1.00
0.579726,1.0081,-0.0393,0.0303,1.01
0.613919,0.9895,-0.0359,0.0432,0.99
0.629519,0.9807,-0.0356,0.0491,0.98
0.647501,0.9836,-0.0288,0.0447,0.99
0.672268,0.9854,-0.0166,0.0459,0.99
0.682090,0.9834,-0.0229,0.0445,0.98
0.713092,0.9741,-0.0481,0.0403,0.98
0.729381,0.9783,-0.0442,0.0388,0.98
0.747570,0.9802,-0.0339,0.0366,0.98
0.767482,0.9846,-0.0310,0.0315,0.99
0.795881,0.9993,-0.0178,0.0286,1.00
0.812714,1.0069,-0.0102,0.0105,1.01
0.829346,1.0017,-0.0168,0.0159,1.00
0.847099,0.9988,-0.0200,0.0288,1.00
