time,gFx,gFy,gFz,TgF
0.014481,-0.0061,0.0203,0.9973,1.00
0.031441,-0.0071,0.0221,1.0007,1.00
0.047433,-0.0063,0.0230,1.0044,1.00
0.080108,-0.0022,0.0225,1.0036,1.00
0.096464,-0.0005,0.0211,1.0024,1.00
0.113238,0.0000,0.0221,1.0009,1.00
0.130197,0.0025,0.0233,0.9982,1.00
0.164592,0.0005,0.0216,0.9975,1.00
0.179755,-0.0053,0.0208,1.0002,1.00
0.196585,-0.0061,0.0216,1.0009,1.00
0.213173,-0.0012,0.0218,1.0017,1.00
0.230231,-0.0009,0.0213,1.0046,1.00
0.264475,-0.0034,0.0213,1.0031,1.00
0.279869,-0.0061,0.0235,1.0061,1.01
0.296183,-0.0063,0.0216,1.0061,1.01
0.312902,-0.0046,0.0203,1.0029,1.00
0.347424,-0.0002,0.0235,0.9973,1.00
0.362888,-0.0009,0.0243,1.0002,1.00
0.379473,-0.0014,0.0228,1.0066,1.01
0.395937,-0.0041,0.0230,1.0124,1.01
0.412688,-0.0049,0.0233,1.0097,1.01
0.447023,-0.0002,0.0211,0.9921,0.99
0.462497,0.0025,0.0235,0.9924,0.99
0.479300,0.0032,0.0255,0.9975,1.00
0.495894,-0.0014,0.0257,1.0034,1.00
0.513883,-0.0058,0.0240,1.0022,1.00
0.546918,-0.0014,0.0235,0.9978,1.00
0.562409,0.0017,0.0235,0.9982,1.00
0.579188,0.0015,0.0223,1.0007,1.00
0.597386,-0.0007,0.0240,1.0039,1.00
0.628824,-0.0014,0.0245,1.0036,1.00
0.647306,-0.0012,0.0230,1.0007,1.00
0.662447,-0.0022,0.0230,1.0004,1.00
0.679381,-0.0039,0.0238,1.0002,1.00
0.712401,-0.0053,0.0228,1.0014,1.00
0.729363,-0.0009,0.0230,1.0034,1.00
0.746954,0.0039,0.0238,1.0063,1.01
0.762401,0.0057,0.0247,1.0119,1.01
0.778723,0.0030,0.0235,1.0083,1.01
0.812260,-0.0046,0.0184,0.9941,0.99
0.828810,-0.0031,0.0223,0.9963,1.00
0.846867,-0.0051,0.0262,1.0007,1.00
0.861891,-0.0049,0.0282,1.0017,1.00
0.895357,-0.0022,0.0277,1.0017,1.00
0.912257,-0.0022,0.0267,1.0012,1.00
0.928834,0.0003,0.0255,0.9992,1.00
0.946531,0.0032,0.0272,0.9985,1.00
0.962057,0.0054,0.0291,1.0002,1.00
0.996007,-0.0029,0.0277,1.0009,1.00
1.011762,-0.0046,0.0274,0.9978,1.00
1.028752,-0.0019,0.0255,0.9934,0.99
1.046275,0.0020,0.0238,1.0019,1.00
1.063067,-0.0009,0.0213,1.0056,1.01
1.095350,-0.0044,0.0216,1.0070,1.01
1.111592,-0.0053,0.0250,1.0014,1.00
1.128280,-0.0044,0.0279,1.0000,1.00
1.146650,0.0000,0.0255,1.0004,1.00
1.164173,0.0003,0.0243,1.0000,1.00
1.195012,-0.0005,0.0243,1.0022,1.00
1.211523,-0.0009,0.0243,1.0017,1.00
1.228204,0.0000,0.0250,1.0000,1.00
1.246277,0.0000,0.0262,1.0014,1.00
1.277951,0.0003,0.0291,1.0009,1.00
1.295157,0.0000,0.0289,0.9997,1.00
1.311660,-0.0012,0.0299,1.0009,1.00
1.328212,-0.0034,0.0309,1.0007,1.00
1.361665,-0.0019,0.0269,1.0000,1.00
1.377779,-0.0019,0.0257,1.0007,1.00
1.394732,-0.0022,0.0245,1.0014,1.00
1.411761,-0.0007,0.0243,1.0026,1.00
1.427949,0.0000,0.0243,1.0019,1.00
1.461271,0.0000,0.0243,1.0012,1.00
1.478024,-0.0017,0.0250,1.0009,1.00
1.494358,0.0010,0.0260,1.0002,1.00
1.511651,0.0000,0.0255,1.0012,1.00
1.545772,-0.0044,0.0250,1.0019,1.00
1.560863,-0.0031,0.0243,1.0019,1.00
1.577611,-0.0009,0.0252,1.0004,1.00
1.594989,-0.0005,0.0257,1.0009,1.00
1.611925,-0.0024,0.0255,1.0034,1.00
1.647722,-0.0041,0.0269,1.0014,1.00
1.661457,-0.0019,0.0274,0.9985,1.00
1.678154,0.0047,0.0287,1.0002,1.00
1.694375,0.0086,0.0309,1.0056,1.01
1.716007,0.0057,0.0304,1.0029,1.00
1.747738,-0.0049,0.0240,0.9965,1.00
1.761195,-0.0053,0.0230,0.9982,1.00
1.777721,-0.0075,0.0257,1.0014,1.00
1.794259,-0.0073,0.0260,1.0041,1.00
1.828547,-0.0058,0.0257,1.0092,1.01
1.844225,-0.0058,0.0265,1.0100,1.01
1.874122,0.0013,0.0294,1.0002,1.00
1.877774,0.0030,0.0287,0.9978,1.00
1.910791,0.0098,0.0223,0.9890,0.99
1.928674,0.0059,0.0199,0.9941,0.99
1.944109,-0.0009,0.0201,1.0012,1.00
1.963652,-0.0031,0.0218,1.0024,1.00
1.978943,0.0000,0.0230,1.0034,1.00
2.010615,0.0027,0.0240,1.0022,1.00
2.037870,-0.0044,0.0250,1.0107,1.01
2.053892,-0.0085,0.0262,1.0158,1.02
2.062014,-0.0083,0.0260,1.0136,1.01
2.078383,-0.0058,0.0245,1.0036,1.00
2.110093,0.0059,0.0172,0.9872,0.99
2.126429,0.0079,0.0191,0.9916,0.99
