time,gFx,gFy,gFz,TgF
0.001823,0.8714,0.0658,0.4668,0.99
0.030741,0.8736,0.0724,0.4622,0.99
0.046725,0.8714,0.0768,0.4683,0.99
0.062710,0.8670,0.0785,0.4744,0.99
0.079292,0.8631,0.0736,0.4722,0.99
0.113555,0.8714,0.0722,0.4666,0.99
0.129312,0.8749,0.0744,0.4659,0.99
0.145842,0.8724,0.0763,0.4659,0.99
0.162532,0.8670,0.0753,0.4688,0.99
0.179108,0.8617,0.0731,0.4720,0.99
0.212483,0.8717,0.0717,0.4686,0.99
0.229408,0.8756,0.0714,0.4646,0.99
0.245693,0.8771,0.0722,0.4632,0.99
0.262420,0.8719,0.0741,0.4656,0.99
0.296947,0.8631,0.0731,0.4764,0.99
0.312213,0.8651,0.0724,0.4727,0.99
0.328722,0.8705,0.0736,0.4668,0.99
0.345398,0.8739,0.0756,0.4656,0.99
0.362106,0.8724,0.0768,0.4649,0.99
0.398233,0.8653,0.0753,0.4698,0.99
0.412062,0.8670,0.0751,0.4695,0.99
0.428465,0.8683,0.0749,0.4651,0.99
0.445243,0.8700,0.0771,0.4664,0.99
0.479895,0.8690,0.0756,0.4742,0.99
0.495619,0.8705,0.0749,0.4717,0.99
0.511821,0.8680,0.0753,0.4695,0.99
0.528410,0.8675,0.0753,0.4676,0.99
0.545345,0.8685,0.0766,0.4666,0.99
0.579809,0.8707,0.0763,0.4693,0.99
0.595134,0.8707,0.0778,0.4688,0.99
0.611595,0.8670,0.0773,0.4712,0.99
0.628648,0.8648,0.0746,0.4737,0.99
0.644956,0.8707,0.0709,0.4720,0.99
0.679686,0.8754,0.0758,0.4615,0.99
0.694729,0.8729,0.0778,0.4617,0.99
0.711508,0.8690,0.0778,0.4654,0.99
0.728132,0.8673,0.0749,0.4664,0.99
0.761419,0.8705,0.0712,0.4666,0.99
0.778090,0.8714,0.0705,0.4686,0.99
0.795921,0.8700,0.0736,0.4703,0.99
0.811207,0.8695,0.0756,0.4690,0.99
0.827868,0.8707,0.0763,0.4642,0.99
0.847779,0.8705,0.0746,0.4610,0.99
0.877912,0.8675,0.0744,0.4637,0.99
0.895796,0.8714,0.0756,0.4678,0.99
0.911024,0.8717,0.0736,0.4700,0.99
0.944220,0.8695,0.0709,0.4673,0.99
0.960943,0.8695,0.0736,0.4661,0.99
0.977643,0.8695,0.0763,0.4668,0.99
1.000027,0.8702,0.0751,0.4668,0.99
1.011780,0.8697,0.0734,0.4656,0.99
1.043990,0.8710,0.0729,0.4646,0.99
1.060543,0.8710,0.0727,0.4654,0.99
1.077271,0.8697,0.0744,0.4668,0.99
1.095187,0.8695,0.0736,0.4681,0.99
1.112688,0.8692,0.0741,0.4668,0.99
1.143775,0.8717,0.0741,0.4651,0.99
1.160513,0.8727,0.0751,0.4656,0.99
1.177364,0.8714,0.0744,0.4639,0.99
1.195145,0.8690,0.0736,0.4634,0.99
1.227155,0.8700,0.0734,0.4693,0.99
1.243636,0.8751,0.0768,0.4659,0.99
1.260410,0.8688,0.0783,0.4661,0.99
1.277310,0.8663,0.0773,0.4661,0.99
1.296270,0.8712,0.0756,0.4664,0.99
1.326822,0.8734,0.0709,0.4700,0.99
1.343453,0.8712,0.0766,0.4737,0.99
1.360184,0.8673,0.0758,0.4703,0.99
1.395251,0.8668,0.0717,0.4654,0.99
1.411327,0.8678,0.0756,0.4668,0.99
1.426723,0.8705,0.0785,0.4703,0.99
1.443474,0.8697,0.0780,0.4683,0.99
1.460056,0.8678,0.0766,0.4664,0.99
1.494864,0.8668,0.0761,0.4720,0.99
1.509881,0.8675,0.0775,0.4727,0.99
