time,gFx,gFy,gFz,TgF
0.013895,0.9846,0.0350,0.0745,0.99
0.031180,0.9883,0.0326,0.0723,0.99
0.047040,0.9898,0.0323,0.0740,0.99
0.080373,0.9854,0.0335,0.0787,0.99
0.096008,0.9846,0.0338,0.0782,0.99
0.113010,0.9849,0.0345,0.0762,0.99
0.129258,0.9836,0.0340,0.0753,0.99
0.146884,0.9844,0.0360,0.0762,0.99
0.180080,0.9856,0.0355,0.0777,0.99
0.195742,0.9858,0.0357,0.0767,0.99
0.212657,0.9849,0.0350,0.0770,0.99
0.229092,0.9863,0.0348,0.0775,0.99
0.263673,0.9876,0.0323,0.0762,0.99
0.278985,0.9871,0.0316,0.0765,0.99
0.296679,0.9873,0.0318,0.0767,0.99
0.312357,0.9873,0.0340,0.0765,0.99
0.329236,0.9871,0.0377,0.0748,0.99
0.362318,0.9873,0.0340,0.0750,0.99
0.378837,0.9878,0.0323,0.0753,0.99
0.396284,0.9863,0.0338,0.0772,0.99
0.412208,0.9844,0.0340,0.0779,0.99
0.430203,0.9851,0.0340,0.0750,0.99
0.461945,0.9839,0.0367,0.0723,0.99
0.478563,0.9832,0.0360,0.0731,0.99
0.496371,0.9871,0.0340,0.0745,0.99
0.512014,0.9910,0.0306,0.0757,0.99
0.531600,0.9890,0.0311,0.0767,0.99
0.561768,0.9846,0.0394,0.0677,0.99
0.578536,0.9839,0.0370,0.0709,0.99
0.595996,0.9846,0.0340,0.0731,0.99
0.628372,0.9873,0.0362,0.0765,0.99
0.644992,0.9871,0.0362,0.0740,0.99
0.663023,0.9868,0.0340,0.0743,0.99
0.678035,0.9868,0.0326,0.0750,0.99
0.696451,0.9873,0.0335,0.0748,0.99
0.728182,0.9841,0.0343,0.0750,0.99
0.744631,0.9834,0.0331,0.0743,0.99
0.761247,0.9832,0.0343,0.0762,0.99
0.778214,0.9861,0.0348,0.0760,0.99
0.797326,0.9873,0.0350,0.0757,0.99
0.827959,0.9856,0.0345,0.0745,0.99
0.844664,0.9834,0.0362,0.0745,0.99
0.861316,0.9834,0.0372,0.0767,0.99
0.895609,0.9883,0.0328,0.0755,0.99
0.910979,0.9905,0.0316,0.0731,0.99
0.927732,0.9893,0.0304,0.0718,0.99
0.944276,0.9878,0.0372,0.0738,0.99
0.961047,0.9861,0.0404,0.0767,0.99
0.995123,0.9822,0.0384,0.0814,0.99
1.011076,0.9829,0.0370,0.0801,0.99
1.027571,0.9851,0.0360,0.0797,0.99
1.044132,0.9866,0.0353,0.0809,0.99
1.060759,0.9871,0.0331,0.0792,0.99
1.095311,0.9856,0.0353,0.0740,0.99
1.110689,0.9819,0.0387,0.0804,0.99
1.127390,0.9824,0.0379,0.0814,0.99
1.143973,0.9880,0.0355,0.0806,0.99
1.161297,0.9858,0.0360,0.0799,0.99
1.198655,0.9832,0.0375,0.0755,0.99
1.210939,0.9790,0.0362,0.0799,0.98
1.229028,0.9761,0.0350,0.0831,0.98
1.244419,0.9814,0.0375,0.0821,0.99
1.263586,0.9883,0.0397,0.0760,0.99
1.294700,0.9946,0.0323,0.0723,1.00
1.311315,0.9910,0.0316,0.0772,0.99
1.328295,0.9851,0.0340,0.0816,0.99
1.343876,0.9832,0.0340,0.0826,0.99
1.377136,0.9866,0.0331,0.0799,0.99
1.393453,0.9863,0.0357,0.0772,0.99
1.411139,0.9873,0.0365,0.0755,0.99
1.426733,0.9849,0.0394,0.0762,0.99
1.446262,0.9846,0.0370,0.0804,0.99
1.476652,0.9856,0.0309,0.0833,0.99
1.493113,0.9863,0.0343,0.0814,0.99
1.510942,0.9863,0.0355,0.0799,0.99
1.527078,0.9851,0.0348,0.0770,0.99
1.547293,0.9868,0.0348,0.0772,0.99
1.576767,0.9858,0.0360,0.0782,0.99
1.593084,0.9844,0.0357,0.0787,0.99
1.610704,0.9834,0.0338,0.0792,0.99
1.628444,0.9854,0.0335,0.0787,0.99
1.659533,0.9885,0.0387,0.0753,0.99
1.676159,0.9900,0.0375,0.0740,0.99
1.693115,0.9893,0.0340,0.0735,0.99
1.710450,0.9868,0.0301,0.0770,0.99
1.742970,0.9814,0.0350,0.0831,0.99
1.759323,0.9770,0.0372,0.0858,0.98
1.776185,0.9810,0.0357,0.0850,0.99
1.792794,0.9873,0.0318,0.0838,0.99
1.810224,0.9868,0.0311,0.0848,0.99
1.842564,0.9849,0.0360,0.0816,0.99
1.859115,0.9836,0.0370,0.0782,0.99
1.877285,0.9854,0.0335,0.0787,0.99
1.893475,0.9858,0.0306,0.0799,0.99
1.913110,0.9841,0.0338,0.0836,0.99
1.943211,0.9822,0.0353,0.0799,0.99
1.960075,0.9854,0.0321,0.0784,0.99
1.976281,0.9873,0.0323,0.0775,0.99
1.995108,0.9895,0.0333,0.0794,0.99
