time,gFx,gFy,gFz,TgF
0.013017,0.9981,-0.0156,0.0097,1.00
0.033824,0.9890,-0.0163,0.0210,0.99
0.068872,0.9678,-0.0166,0.0498,0.97
0.074598,0.9656,-0.0141,0.0501,0.97
0.099292,0.9695,-0.0156,0.0469,0.97
0.114183,0.9726,-0.0197,0.0476,0.97
0.139152,0.9768,-0.0249,0.0489,0.98
0.186751,0.9692,-0.0273,0.0283,0.97
0.193414,0.9670,-0.0271,0.0291,0.97
0.193812,0.9670,-0.0271,0.0291,0.97
0.230510,0.9629,-0.0532,0.0398,0.97
0.234247,0.9638,-0.0579,0.0396,0.97
0.268039,0.9709,-0.0625,0.0391,0.97
0.274603,0.9724,-0.0723,0.0408,0.98
0.300332,1.0325,-0.2153,0.0171,1.05
0.332002,1.0474,-0.1813,-0.0201,1.06
0.375977,1.0100,-0.0371,-0.0054,1.01
0.376248,1.0100,-0.0371,-0.0054,1.01
0.381901,1.0086,-0.0449,0.0019,1.01
0.399845,1.0144,-0.1170,0.0339,1.02
0.435916,0.9983,-0.2038,0.0677,1.02
0.467003,0.9475,-0.1588,0.0623,0.96
0.467345,0.9475,-0.1588,0.0623,0.96
0.482129,0.9531,-0.1292,0.0684,0.96
0.499370,0.9597,-0.1268,0.0667,0.97
0.554290,0.9445,-0.1767,0.0728,0.96
0.556212,0.9445,-0.1767,0.0728,0.96
0.567491,0.9416,-0.1759,0.0655,0.96
0.583690,0.9494,-0.1654,0.0577,0.97
0.615055,0.9810,-0.1432,0.0586,0.99
0.635040,0.9731,-0.1241,0.0432,0.98
0.656136,0.9802,-0.1214,0.0134,0.99
0.664583,0.9807,-0.1197,0.0193,0.99
0.683585,0.9900,-0.1373,0.0286,1.00
0.718044,1.0098,-0.1351,0.0200,1.02
0.750950,1.0017,-0.1241,0.0203,1.01
0.751237,1.0017,-0.1241,0.0203,1.01
0.765930,0.9824,-0.1268,0.0305,0.99
0.787185,0.9704,-0.1422,0.0435,0.98
0.819159,1.0105,-0.1547,0.0528,1.02
0.859662,1.0171,-0.1307,0.0366,1.03
0.859937,1.0171,-0.1307,0.0366,1.03
0.871836,1.0184,-0.1437,0.0269,1.03
0.898049,1.0049,-0.1803,0.0066,1.02
0.915531,0.9907,-0.1718,-0.0030,1.01
0.934739,0.9741,-0.1158,0.0088,0.98
0.964485,0.9707,-0.0923,-0.0022,0.98
0.981000,0.9761,-0.1212,-0.0101,0.98
0.997511,0.9841,-0.1429,-0.0108,0.99
1.014595,0.9766,-0.1366,0.0002,0.99
1.034736,0.9585,-0.1190,0.0085,0.97
1.053953,0.9602,-0.0938,0.0119,0.96
1.080502,0.9885,-0.0821,-0.0167,0.99
1.097134,1.0027,-0.0774,-0.0421,1.01
1.114867,0.9998,-0.0747,-0.0585,1.00
1.134519,0.9832,-0.0708,-0.0277,0.99
1.165754,0.9773,-0.0899,0.0078,0.98
1.182653,0.9841,-0.1104,0.0046,0.99
1.196914,0.9829,-0.1219,0.0090,0.99
1.214360,0.9871,-0.1097,0.0176,0.99
1.235523,0.9856,-0.0757,0.0090,0.99
1.264396,0.9724,-0.0476,0.0066,0.97
1.280289,0.9724,-0.0437,-0.0130,0.97
1.297247,0.9663,-0.0488,-0.0267,0.97
1.315306,0.9590,-0.0491,-0.0147,0.96
1.334574,0.9489,-0.0420,-0.0123,0.95
1.361890,0.9409,-0.0217,-0.0096,0.94
1.379752,0.9548,0.0032,-0.0013,0.95
1.396827,0.9766,0.0167,-0.0049,0.98
1.433014,1.0298,-0.0100,0.0141,1.03
1.464829,1.0584,-0.0691,0.0559,1.06
1.465100,1.0584,-0.0691,0.0559,1.06
1.479724,1.0523,-0.0865,0.0645,1.06
1.496534,1.0426,-0.1058,0.0706,1.05
1.532808,0.9966,-0.0654,0.0716,1.00
1.566333,0.9734,0.0150,0.0215,0.97
1.566626,0.9734,0.0150,0.0215,0.97
1.579822,0.9761,0.0328,0.0083,0.98
1.596187,0.9748,0.0318,0.0107,0.98
1.622104,0.9692,0.0162,0.0520,0.97
1.684835,0.9758,-0.0236,0.0784,0.98
1.685127,0.9758,-0.0236,0.0784,0.98
1.685552,0.9758,-0.0236,0.0784,0.98
1.717702,1.0032,-0.0212,0.0782,1.01
1.743269,1.0333,0.0108,0.0621,1.04
1.743573,1.0333,0.0108,0.0621,1.04
1.762888,1.0250,-0.0002,0.0647,1.03
1.782476,1.0291,-0.0278,0.0794,1.03
1.816174,1.0115,-0.0491,0.0633,1.01
1.847471,0.9746,-0.0129,0.0176,0.97
1.847760,0.9746,-0.0129,0.0176,0.97
1.863742,0.9382,-0.0161,0.0249,0.94
1.896367,0.9553,-0.0603,0.0068,0.96
1.912429,0.9729,-0.0601,-0.0005,0.97
1.937776,0.9582,-0.0434,0.0151,0.96
1.969803,0.9731,-0.0241,0.0471,0.97
1.970077,0.9731,-0.0241,0.0471,0.97
1.996456,0.9834,-0.0535,0.0665,0.99
2.016947,1.0059,-0.0557,0.0718,1.01
2.031949,1.0176,-0.0371,0.0613,1.02
2.066201,1.0017,-0.0410,0.0601,1.00
2.066503,1.0017,-0.0410,0.0601,1.00
2.095385,0.9929,-0.0586,0.0462,1.00
2.120503,0.9756,-0.0620,0.0374,0.98
2.151612,0.9702,-0.0554,0.0364,0.97
2.179929,0.9656,-0.0694,0.0479,0.97
2.180237,0.9656,-0.0694,0.0479,0.97
2.194887,0.9714,-0.0733,0.0513,0.98
2.211859,0.9805,-0.0718,0.0476,0.98
2.232629,0.9849,-0.0632,0.0398,0.99
2.261916,0.9812,-0.0566,0.0447,0.98
2.278518,0.9827,-0.0586,0.0498,0.99
2.295506,0.9756,-0.0664,0.0491,0.98
2.311526,0.9619,-0.0706,0.0691,0.97
2.331803,0.9714,-0.0632,0.0850,0.98
2.355715,0.9973,-0.0537,0.0662,1.00
2.378078,1.0059,-0.0368,0.0249,1.01
2.395380,1.0012,-0.0092,0.0229,1.00
2.437237,0.9775,-0.0192,0.0506,0.98
2.437601,0.9775,-0.0192,0.0506,0.98
2.462040,0.9834,-0.0427,0.0694,0.99
2.477623,0.9932,-0.0706,0.0716,1.00
2.495009,0.9961,-0.1085,0.0557,1.00
2.530875,0.9568,-0.1378,0.1180,0.97
2.568402,0.9871,-0.1542,0.1053,1.00
2.569053,0.9932,-0.1544,0.0970,1.01
2.579057,0.9951,-0.1527,0.0885,1.01
2.598087,0.9983,-0.1395,0.0359,1.01
2.634262,0.9880,-0.1363,0.0310,1.00
2.665928,0.9558,-0.0828,0.1122,0.97
2.666312,0.9558,-0.0828,0.1122,0.97
2.694387,1.0147,-0.0786,0.0621,1.02
2.710772,1.0289,-0.0522,0.0254,1.03
2.730830,1.0110,-0.0510,0.0068,1.01
2.761750,0.9658,-0.0696,0.0075,0.97
2.777062,0.9433,-0.0703,-0.0069,0.95
2.794486,0.9142,-0.0630,-0.0384,0.92
2.810499,0.8663,-0.0261,-0.1000,0.87
2.834041,0.8226,0.0541,-0.1518,0.84
2.859485,0.8299,0.1196,-0.0912,0.84
2.867548,0.8800,0.1115,-0.0157,0.89
2.900198,1.0741,-0.0569,0.1679,1.09
2.910215,1.1220,-0.1896,0.1112,1.14
2.929905,1.1068,-0.2341,0.0344,1.13
2.959668,1.0863,-0.1104,0.1466,1.10
2.976609,1.1261,-0.0608,0.1970,1.14
2.994370,1.1266,-0.0852,0.2112,1.15
3.026821,1.0614,-0.1642,0.2513,1.10
3.049585,0.9910,-0.1527,0.2405,1.03
3.080676,0.8389,-0.0635,0.1420,0.85
3.082200,0.8389,-0.0635,0.1420,0.85
3.115117,0.7932,0.0331,0.1114,0.80
3.126622,0.7942,0.0790,0.0865,0.80
3.146659,0.7976,0.0641,0.0596,0.80
3.181991,0.7126,-0.0246,0.0347,0.71
3.187008,0.6950,-0.0246,0.0310,0.70
3.223020,0.5950,0.0194,0.0203,0.60
3.234345,0.5786,0.0409,0.0024,0.58
3.251468,0.6226,0.1005,-0.0279,0.63
3.281955,0.8947,0.1787,0.0139,0.91
3.285499,0.9653,0.1868,0.0501,0.98
