time,gFx,gFy,gFz,TgF
0.015763,0.9839,-0.0139,0.0713,0.99
0.033659,0.9868,-0.0178,0.0665,0.99
0.047522,0.9858,-0.0168,0.0679,0.99
0.063977,0.9858,-0.0070,0.0709,0.99
0.082471,0.9888,-0.0063,0.0716,0.99
0.114069,0.9885,-0.0148,0.0755,0.99
0.132096,0.9851,-0.0163,0.0755,0.99
0.147290,0.9876,-0.0156,0.0760,0.99
0.163803,0.9910,-0.0126,0.0731,0.99
0.197418,0.9905,-0.0136,0.0728,0.99
0.213793,0.9851,-0.0080,0.0823,0.99
0.231858,0.9810,-0.0019,0.0848,0.98
0.247271,0.9785,-0.0007,0.0806,0.98
0.264626,0.9802,-0.0197,0.0794,0.98
0.284983,0.9827,-0.0283,0.0760,0.99
0.313750,0.9868,-0.0217,0.0699,0.99
0.331839,0.9834,-0.0188,0.0677,0.99
0.352630,0.9827,-0.0090,0.0635,0.98
0.365608,0.9910,0.0005,0.0643,0.99
0.397107,0.9961,-0.0117,0.0481,1.00
0.413571,0.9832,-0.0192,0.0581,0.99
0.431543,0.9797,-0.0298,0.0647,0.98
0.446884,0.9885,-0.0320,0.0601,0.99
0.480046,1.0017,-0.0342,0.0376,1.00
0.496681,0.9976,-0.0346,0.0393,1.00
0.513313,0.9888,-0.0361,0.0511,0.99
0.530035,0.9863,-0.0344,0.0520,0.99
0.547927,0.9834,-0.0317,0.0567,0.99
0.579844,0.9873,-0.0395,0.0599,0.99
0.596250,0.9866,-0.0364,0.0589,0.99
0.612910,0.9856,-0.0334,0.0591,0.99
0.631021,0.9832,-0.0283,0.0643,0.99
0.647611,0.9805,-0.0288,0.0640,0.98
0.668662,0.9841,-0.0263,0.0616,0.99
0.696458,0.9890,-0.0312,0.0603,0.99
0.712951,0.9893,-0.0364,0.0623,0.99
0.729614,0.9898,-0.0359,0.0650,0.99
0.762631,0.9844,-0.0290,0.0718,0.99
0.779781,0.9856,-0.0229,0.0735,0.99
0.796163,0.9873,-0.0197,0.0716,0.99
0.812664,0.9900,-0.0178,0.0709,0.99
0.830521,0.9927,-0.0175,0.0721,1.00
0.862675,0.9863,-0.0217,0.0726,0.99
0.879314,0.9839,-0.0249,0.0770,0.99
0.895653,0.9858,-0.0278,0.0772,0.99
0.912335,0.9900,-0.0300,0.0753,0.99
0.931237,0.9841,-0.0285,0.0819,0.99
0.962436,0.9885,-0.0288,0.0911,0.99
0.978974,0.9912,-0.0163,0.0794,0.99
0.995498,0.9893,-0.0136,0.0647,0.99
1.012661,0.9836,-0.0183,0.0696,0.99
1.045679,0.9731,-0.0276,0.0911,0.98
1.062418,0.9734,-0.0268,0.0885,0.98
1.078927,0.9836,-0.0246,0.0804,0.99
1.095581,0.9863,-0.0246,0.0740,0.99
1.130299,0.9866,-0.0305,0.0652,0.99
1.145246,0.9854,-0.0412,0.0652,0.99
1.161864,0.9770,-0.0442,0.0704,0.98
1.178904,0.9758,-0.0449,0.0709,0.98
1.195376,0.9912,-0.0452,0.0618,0.99
1.230162,0.9763,-0.0503,0.0792,0.98
1.245131,0.9717,-0.0620,0.0975,0.98
1.261593,0.9817,-0.0955,0.1171,0.99
1.278633,0.9934,-0.1544,0.1200,1.01
1.295570,1.0721,-0.2097,0.0586,1.09
1.330073,0.8898,-0.0254,0.0337,0.89
1.345026,0.9140,-0.0134,0.0369,0.91
1.361536,0.9807,-0.0082,0.0562,0.98
1.378336,1.0235,-0.0283,0.0640,1.03
1.396362,1.0144,-0.0955,0.0635,1.02
1.429532,0.9778,-0.1380,0.0498,0.99
1.445013,0.9807,-0.0989,0.0244,0.99
1.461480,0.9810,-0.0615,0.0144,0.98
1.494836,0.9702,0.0020,0.0467,0.97
1.511235,0.9563,0.0079,0.0611,0.96
1.528302,0.9519,0.0042,0.0709,0.95
1.546177,0.9607,-0.0048,0.0608,0.96
1.561347,0.9648,-0.0100,0.0381,0.97
1.594420,0.9533,-0.0004,0.0031,0.95
1.611551,0.9521,0.0096,-0.0149,0.95
1.627987,0.9467,0.0487,-0.0252,0.95
1.645795,0.9286,0.0964,-0.0321,0.93
1.661521,0.9064,0.1017,-0.0255,0.91
1.681659,0.9057,0.0944,0.0071,0.91
1.711147,1.0985,0.0445,0.1185,1.11
1.727743,1.1516,-0.0280,0.0987,1.16
1.745752,1.1594,-0.1268,0.0757,1.17
1.762262,1.1516,-0.1478,0.0943,1.16
1.794320,1.0499,-0.0298,0.1190,1.06
1.810641,0.9900,-0.0075,0.0958,0.99
1.827254,0.9506,-0.0161,0.0770,0.95
1.845959,0.9546,-0.0078,0.0601,0.96
1.863779,0.9538,-0.0134,0.0445,0.95
1.894751,0.9558,-0.0295,0.0344,0.96
1.911181,0.9687,0.0140,0.0100,0.97
1.927934,0.9597,0.0639,0.0058,0.96
1.945946,0.9194,0.0846,0.0335,0.92
1.964275,0.8937,0.0834,0.0738,0.90
1.994082,0.9150,0.1037,0.1268,0.93
2.010569,0.9528,0.0629,0.1454,0.97
2.028481,0.9731,0.0252,0.1452,0.98
2.060129,0.9741,0.0155,0.2114,1.00
2.077368,0.9565,0.0260,0.2368,0.99
2.094072,0.9477,0.0353,0.2503,0.98
2.110707,0.9709,0.0284,0.2381,1.00
2.128397,0.9956,0.0392,0.2080,1.02
2.160256,1.0360,0.0507,0.1344,1.05
2.176574,1.0259,-0.0434,0.1276,1.03
2.193292,1.0411,-0.0630,0.1730,1.06
2.210355,1.0819,0.0416,0.2547,1.11
2.228189,1.1144,0.1401,0.2772,1.16
2.259763,1.5517,0.2293,-0.2330,1.59
